timetag,open,high,low,close,volumn,amount
20010827,4.61,5.04,4.38,4.75,406318.0,1410347179.00
20010828,4.67,4.94,4.62,4.92,129647.0,463463143.00
20010829,4.94,4.94,4.82,4.86,53252.0,194689619.00
20010830,4.84,5.01,4.81,4.95,48013.0,177558558.00
20010831,4.96,5.02,4.91,4.94,23231.0,86231237.00
20010903,4.97,5.01,4.92,4.94,22112.0,82129438.00
20010904,4.94,5.08,4.92,5.00,37006.0,139204380.00
20010905,5.02,5.06,4.97,5.00,26066.0,97796243.00
20010906,4.99,5.00,4.87,4.90,28997.0,107078403.00
20010907,4.87,4.93,4.76,4.76,31552.0,113868742.00
20010910,4.72,4.92,4.67,4.90,18878.0,68406471.00
20010911,4.91,4.93,4.83,4.84,11390.0,41579698.00
20010912,4.72,4.83,4.71,4.80,25045.0,89421380.00
20010913,4.81,4.85,4.77,4.79,10986.0,39512775.00
20010914,4.81,4.87,4.78,4.85,7672.0,27740691.00
20010917,4.82,4.84,4.74,4.78,8983.0,32183248.00
20010918,4.79,4.88,4.79,4.84,10773.0,39006062.00
20010919,4.85,4.93,4.81,4.93,8650.0,31597369.00
20010920,4.93,4.95,4.87,4.89,11173.0,41189577.00
20010921,4.84,4.89,4.81,4.81,7880.0,28638681.00
20010924,4.81,4.86,4.81,4.81,4068.0,14703096.00
20010925,4.84,4.88,4.81,4.84,3488.0,12639790.00
20010926,4.82,4.87,4.81,4.82,4956.0,17892565.00
20010927,4.82,4.94,4.81,4.90,8778.0,32085131.00
20010928,4.93,4.97,4.87,4.95,17088.0,63169143.00
20011008,4.94,4.96,4.84,4.88,6552.0,24091149.00
20011009,4.89,5.01,4.89,4.98,9558.0,35498605.00
20011010,4.98,5.00,4.81,4.82,17548.0,63956753.00
20011011,4.81,4.87,4.76,4.77,12306.0,44319896.00
20011012,4.79,4.89,4.54,4.81,20010.0,70897331.00
20011015,4.79,4.81,4.66,4.71,9755.0,34501714.00
20011016,4.69,4.78,4.64,4.64,8319.0,29068173.00
20011017,4.64,4.65,4.52,4.56,12507.0,42766283.00
20011018,4.56,4.63,4.53,4.54,4983.0,16999063.00
20011019,4.54,4.56,4.41,4.47,15687.0,52422843.00
20011022,4.44,4.50,4.36,4.38,9760.0,32268911.00
20011023,4.81,4.81,4.67,4.81,40598.0,145710538.00
20011024,4.91,4.91,4.69,4.79,40682.0,147001102.00
20011025,4.77,4.78,4.65,4.66,16036.0,56527283.00
20011026,4.63,4.68,4.59,4.67,9002.0,31280144.00
20011029,4.66,4.76,4.66,4.71,4587.0,16205054.00
20011030,4.70,4.74,4.66,4.67,3484.0,12214728.00
20011031,4.67,4.68,4.64,4.68,4762.0,16633344.00
20011101,4.68,4.76,4.66,4.75,6643.0,23511580.00
20011102,4.71,4.77,4.69,4.72,3435.0,12189356.00
20011105,4.67,4.71,4.63,4.66,3690.0,12879737.00
20011106,4.64,4.71,4.63,4.69,2609.0,9138666.00
20011107,4.67,4.67,4.51,4.52,9325.0,31791132.00
20011108,4.45,4.52,4.40,4.50,7402.0,24682904.00
20011109,4.50,4.60,4.45,4.56,3760.0,12737203.00
20011112,4.59,4.59,4.47,4.48,2683.0,9088858.00
20011113,4.44,4.50,4.43,4.49,2673.0,8965279.00
20011114,4.49,4.54,4.49,4.49,769.0,2599260.00
20011115,4.49,4.51,4.47,4.50,2193.0,7378238.00
20011116,4.83,4.83,4.54,4.55,9954.0,34600364.00
20011119,4.56,4.68,4.55,4.68,3735.0,12950484.00
20011120,4.70,4.74,4.66,4.72,8069.0,28559194.00
20011121,4.74,4.74,4.66,4.70,5114.0,17957630.00
20011122,4.70,4.71,4.66,4.69,4198.0,14713840.00
20011123,4.67,4.70,4.64,4.67,3960.0,13866447.00
20011126,4.67,4.67,4.60,4.62,3100.0,10749495.00
20011127,4.62,4.68,4.62,4.67,2569.0,8954894.00
20011128,4.68,4.72,4.66,4.68,3773.0,13256608.00
20011129,4.67,4.70,4.65,4.65,3046.0,10658762.00
20011130,4.65,4.73,4.64,4.72,4070.0,14292950.00
20011203,4.72,4.84,4.72,4.83,16037.0,57741700.00
20011204,4.84,4.84,4.78,4.83,6894.0,24859859.00
